"","CONTO","ANNO","MESE"
"1",1712,2003,4
"2",1739,2003,5
"3",1693,2003,6
"4",1766,2003,7
"5",1832,2003,8
"6",1752,2003,9
"7",1816,2003,10
"8",1752,2003,11
"9",1752,2003,12
"10",1788,2004,1
"11",1660,2004,2
"12",1776,2004,3
"13",1749,2004,4
"14",1776,2004,5
"15",1725,2004,6
"16",1813,2004,7
"17",1811,2004,8
"18",1787,2004,9
"19",1862,2004,10
"20",1817,2004,11
"21",1873,2004,12
"22",1875,2005,1
"23",1661,2005,2
"24",1854,2005,3
"25",1821,2005,4
"26",1866,2005,5
"27",1813,2005,6
"28",1803,2005,7
"29",1965,2005,8
"30",1895,2005,9
"31",1951,2005,10
"32",1899,2005,11
"33",1977,2005,12
"34",1963,2006,1
"35",1742,2006,2
"36",1954,2006,3
"37",1986,2006,4
"38",2043,2006,5
"39",1975,2006,6
"40",2015,2006,7
"41",2036,2006,8
"42",1979,2006,9
"43",2043,2006,10
"44",2058,2006,11
"45",2206,2006,12
"46",2156,2007,1
"47",1932,2007,2
"48",2163,2007,3
"49",2147,2007,4
"50",2257,2007,5
"51",2225,2007,6
"52",2366,2007,7
"53",2414,2007,8
"54",2349,2007,9
"55",2487,2007,10
"56",2354,2007,11
"57",2409,2007,12
"58",2430,2008,1
"59",2288,2008,2
"60",2429,2008,3
"61",2356,2008,4
"62",2386,2008,5
"63",2318,2008,6
"64",2395,2008,7
"65",2388,2008,8
"66",2327,2008,9
"67",2432,2008,10
"68",2333,2008,11
"69",2345,2008,12
"70",2261,2009,1
"71",1970,2009,2
"72",2189,2009,3
"73",2223,2009,4
"74",2257,2009,5
"75",2299,2009,6
"76",2486,2009,7
"77",2478,2009,8
"78",2376,2009,9
"79",2491,2009,10
"80",2389,2009,11
"81",2481,2009,12
"82",2434,2010,1
"83",2198,2010,2
"84",2505,2010,3
"85",2409,2010,4
"86",2559,2010,5
"87",2644,2010,6
"88",2691,2010,7
"89",2672,2010,8
"90",2554,2010,9
"91",2665,2010,10
"92",2563,2010,11
"93",2705,2010,12
"94",2643,2011,1
"95",2335,2011,2
"96",2566,2011,3
"97",2533,2011,4
"98",2565,2011,5
"99",2492,2011,6
"100",2551,2011,7
"101",2505,2011,8
"102",2455,2011,9
"103",2533,2011,10
"104",2365,2011,11
"105",2450,2011,12
"106",2423,2012,1
"107",2255,2012,2
"108",2469,2012,3
"109",2447,2012,4
"110",2481,2012,5
"111",2435,2012,6
"112",2569,2012,7
"113",2596,2012,8
"114",2497,2012,9
"115",2611,2012,10
"116",2491,2012,11
"117",2535,2012,12
"118",2493,2013,1
"119",2278,2013,2
"120",2533,2013,3
"121",2503,2013,4
"122",2669,2013,5
"123",2601,2013,6
"124",2746,2013,7
"125",2762,2013,8
"126",2660,2013,9
"127",2766,2013,10
"128",2699,2013,11
"129",2738,2013,12
"130",2728,2014,1
"131",2447,2014,2
"132",2733,2014,3
"133",2645,2014,4
"134",2715,2014,5
"135",2637,2014,6
"136",2767,2014,7
"137",2814,2014,8
"138",2708,2014,9
"139",2810,2014,10
"140",2720,2014,11
"141",2805,2014,12
"142",2788,2015,1
"143",2508,2015,2
"144",2808,2015,3
"145",2776,2015,4
"146",2816,2015,5
"147",2736,2015,6
"148",2870,2015,7
"149",2806,2015,8
"150",2741,2015,9
"151",2826,2015,10
"152",2591,2015,11
"153",2663,2015,12
"154",2628,2016,1
"155",2504,2016,2
"156",2694,2016,3
"157",2679,2016,4
"158",2756,2016,5
"159",2644,2016,6
"160",2742,2016,7
"161",2777,2016,8
"162",2713,2016,9
"163",2798,2016,10
"164",2725,2016,11
"165",2748,2016,12
"166",2746,2017,1
"167",2492,2017,2
"168",2749,2017,3
